name,category,image_url
CU,image,https://drive.google.com/uc?export=view&id=1uFfFfIj_cgkJ3CBqak83-qyJ1CgFRU_Z
CV,image,https://drive.google.com/uc?export=view&id=1xs86otwq7yh62lZKBe2q5wUcpDhWKsi8
CW,image,https://drive.google.com/uc?export=view&id=1zSMTxbcuQFDZIN83dOILr4O-0dH23jpO
,,
CY,image,https://drive.google.com/uc?export=view&id=10e791BmAfPVt2jtsnTwvQY6gdml2w4JL
CZ,image,https://drive.google.com/uc?export=view&id=10eLJMHfcs6OyP7uheXMe-WPU9y6fJMIB
DA,image,https://drive.google.com/uc?export=view&id=13OVqj0QQLokyfbNK6jQG8CtRX1kZkAUr
DB,image,https://drive.google.com/uc?export=view&id=142MSAElTludDtja94_3wNYHMmLSRUBY4
DC,image,https://drive.google.com/uc?export=view&id=161bHheYQlWbiz1e9RbIyNd1z43D3tcmh
DD,image,https://drive.google.com/uc?export=view&id=185hWh7-QAsXSYzBDXaPlHYtaHQVzPWBt
DE,image,https://drive.google.com/uc?export=view&id=187BuCKRzkusBMGMsba-cJQFpQ-7gIpTS
DF,image,https://drive.google.com/uc?export=view&id=19BS0tmFYOSvs1WwQbq7O1O1AJWKtrel_
DG,image,https://drive.google.com/uc?export=view&id=19K5fXbnyfPhfQBFgMt7eVeWoqF8Su0R7
DH,image,https://drive.google.com/uc?export=view&id=19uHciOZbMRHFgHOatQzAZ2wM9VjIysdv
DI,image,https://drive.google.com/uc?export=view&id=1DQkITB1I23F-nOeFnQ1V-yaT9OeGICsN
DJ,image,https://drive.google.com/uc?export=view&id=1Dqa5DFbxgIzeYD_6LvbTefVxtMD6QTlv
DK,image,https://drive.google.com/uc?export=view&id=1IAsxCIA18RVlIrFJt27M8e_ngfdJei9J
DL,image,https://drive.google.com/uc?export=view&id=1JwnaK9AGq_rZt5iAv8idy7PUHCNXPvF9
DM,image,https://drive.google.com/uc?export=view&id=1L8kOEL11XvgKXYWxz7itdLgNP0Q8aBnY
DN,image,https://drive.google.com/uc?export=view&id=1Mi3AElS3wz8AoE0dA4byeybcid-DTOzW
DO,image,https://drive.google.com/uc?export=view&id=1QDXRmfE_cVokvmhbfmjt3DCVXwj_45p-
DP,image,https://drive.google.com/uc?export=view&id=1QX2w7JYa4ZEsFSnleuErFhJtC7T4CT_1
DQ,image,https://drive.google.com/uc?export=view&id=1YjbzDAz0t5L8g9NTFfbAN6tXrKhi15iR
DR,image,https://drive.google.com/uc?export=view&id=1_Xn-HkRAaWYtUeJw5T6zT8exQijo17rg
DS,image,https://drive.google.com/uc?export=view&id=1_ea9hctYjc6z7CZGeiEojPxMAMNt0fc8
DT,image,https://drive.google.com/uc?export=view&id=1aNw8X8-5_CDsNoy8WYWOxCl7I0HeUbGZ
DU,image,https://drive.google.com/uc?export=view&id=1c0WSFnrWDH11HmOPdILRmzZdk4A41epb
DV,image,https://drive.google.com/uc?export=view&id=1fxti8esZ_ebnq7clmGClOavkdhZEaW-f
DW,image,https://drive.google.com/uc?export=view&id=1gqY7Fbdvc0Kc6dVytkEq5OddvPpnrPGX
DX,image,https://drive.google.com/uc?export=view&id=1gtfsoB0s3WOxlA7O0wSz0iJJiC_dwQtx
DY,image,https://drive.google.com/uc?export=view&id=1iE3mV3svIJYnTUJofZMY_a5An2m-NrR_
DZ,image,https://drive.google.com/uc?export=view&id=1lU3MEQ-GTd8-a0xbAsooocylOW7hnqgn
EA,image,https://drive.google.com/uc?export=view&id=1nXGuVGFIC3GIeTnfgsR3aIa-uHpdqDPs
EB,image,https://drive.google.com/uc?export=view&id=1nvSGUy5-BLJn9_UX2b55MXiVqTxqsrkp
EC,image,https://drive.google.com/uc?export=view&id=1tlbTe2CcrpWMfUNezm1sjoVaC-BG_pYT
ED,image,https://drive.google.com/uc?export=view&id=1tsgqQt_K-V_GenzqHU7X_fI1NoYm7OBT
EE,image,https://drive.google.com/uc?export=view&id=1uNZoBIsH8Yd0njvBgIUZaQ1JVak7GsTv
EF,image,https://drive.google.com/uc?export=view&id=1ueYkGVGPtOGVX_P2JJLFjM0fDx9x-EHh
EG,image,https://drive.google.com/uc?export=view&id=1w2wn1TlkpUSqerZxv7ZnYbKKyLDStoAk
EH,image,https://drive.google.com/uc?export=view&id=1x8H4BKq1nx2apol3hn38Kk4b1u4hpRcG
